what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.linuxtools.valgrind.ui,0.8.1.201108301805,"org.eclipse.linuxtools.valgrind.ui",1462142534727
stopped,bundle,org.eclipse.ptp.debug.sdm.ui,4.0.0.201109141657,"org.eclipse.ptp.debug.sdm.ui",1462142534729
stopped,bundle,org.eclipse.ptp.debug.sdm.x10,1.0.0.201109141657,"org.eclipse.ptp.debug.sdm.x10",1462142534730
stopped,bundle,org.eclipse.ptp.debug.sdm.core,5.0.0.201109141657,"org.eclipse.ptp.debug.sdm.core",1462142534731
stopped,bundle,org.eclipse.ptp.rm.generic.ui,1.0.0.201109141657,"org.eclipse.ptp.rm.generic.ui",1462142534731
stopped,bundle,org.eclipse.ptp.rm.ibm.ll.ui,5.0.0.201109141657,"org.eclipse.ptp.rm.ibm.ll.ui",1462142534733
stopped,bundle,org.eclipse.ptp.rm.ibm.pe.ui,5.0.0.201109141657,"org.eclipse.ptp.rm.ibm.pe.ui",1462142534735
stopped,bundle,org.eclipse.ptp.rm.lml_jaxb,1.0.0.201109141657,"org.eclipse.ptp.rm.lml_jaxb",1462142534736
stopped,bundle,org.eclipse.ptp.rm.jaxb.control.ui,1.0.0.201109141657,"org.eclipse.ptp.rm.jaxb.control.ui",1462142534739
stopped,bundle,org.eclipse.ptp.rm.lml.monitor.ui,2.0.0.201109141657,"org.eclipse.ptp.rm.lml.monitor.ui",1462142534741
stopped,bundle,org.eclipse.ptp.rm.mpi.mpich2.ui,2.0.0.201109141657,"org.eclipse.ptp.rm.mpi.mpich2.ui",1462142534742
stopped,bundle,org.eclipse.ptp.rm.mpi.openmpi.ui,2.0.0.201109141657,"org.eclipse.ptp.rm.mpi.openmpi.ui",1462142534748
stopped,bundle,org.eclipse.ptp.rm.slurm.ui,4.0.0.201109141657,"org.eclipse.ptp.rm.slurm.ui",1462142534749
stopped,bundle,org.eclipse.ptp.rm.jaxb.ui,1.0.0.201109141657,"org.eclipse.ptp.rm.jaxb.ui",1462142534751
stopped,bundle,org.eclipse.ptp.rm.ui,2.0.0.201109141657,"org.eclipse.ptp.rm.ui",1462142534754
stopped,bundle,org.eclipse.ptp.launch,5.0.0.201109141657,"org.eclipse.ptp.launch",1462142534755
stopped,bundle,org.eclipse.ptp.debug.ui,4.0.0.201109141657,"org.eclipse.ptp.debug.ui",1462142534756
stopped,bundle,org.eclipse.ptp.rdt.server.dstore,2.0.0.201109141657,"org.eclipse.ptp.rdt.server.dstore",1462142534756
stopped,bundle,org.eclipse.ptp.rdt.ui,3.1.100.201109141657,"org.eclipse.ptp.rdt.ui",1462142534757
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.1.201109151620,"org.eclipse.cdt.debug.ui",1462142534758
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.traditional",1462142534762
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201109151620,"org.eclipse.cdt.dsf",1462142534764
stopped,bundle,org.eclipse.linuxtools.binutils,4.0.0.201108301805,"org.eclipse.linuxtools.binutils",1462142534766
stopped,bundle,org.eclipse.linuxtools.callgraph,0.0.1.201108301805,"org.eclipse.linuxtools.callgraph",1462142534767
stopped,bundle,org.eclipse.linuxtools.callgraph.core,0.0.1.201108301805,"org.eclipse.linuxtools.callgraph.core",1462142534768
stopped,bundle,org.eclipse.linuxtools.oprofile.ui,0.3.1.201108301805,"org.eclipse.linuxtools.oprofile.ui",1462142534770
stopped,bundle,org.eclipse.linuxtools.profiling.ui,0.8.1.201108301805,"org.eclipse.linuxtools.profiling.ui",1462142534773
stopped,bundle,org.eclipse.ptp.rm.lml.monitor.core,2.0.0.201109141657,"org.eclipse.ptp.rm.lml.monitor.core",1462142534775
